client_id,advisor_id,advisor_name,team,region,client_segment,age_band,household_income_band,risk_tolerance,client_status,latest_assets,last_contact_date,last_meeting_date,days_since_last_contact,trailing_3_month_net_flows,at_risk_flag
1,24,Advisor 24,Retirement Specialists,Southeast,Mass Affluent,Under 35,$350K+,Moderate,Active,705039.62,2025-08-14,2025-08-14,109,-2187.8000000000006,1
2,8,Advisor 08,Acquisition,West,Core,Under 35,$100K-$199K,Moderate,Active,236942.09,2024-09-09,2024-09-09,448,-382.87999999999965,1
3,9,Advisor 09,Retirement Specialists,Southeast,Emerging,35-44,Under $100K,Growth,Active,61700.32,2025-03-28,,248,2769.1,1
4,8,Advisor 08,Acquisition,West,Emerging,45-54,$200K-$349K,Growth,Active,36988.31,2025-05-29,2025-05-29,186,782.94,1
5,7,Advisor 07,Retirement Specialists,Midwest,Emerging,55-64,$350K+,Growth,Active,89213.02,2025-10-25,,37,3519.52,0
6,18,Advisor 18,Retirement Specialists,West,Mass Affluent,55-64,$200K-$349K,Moderate,Active,404151.77,2025-05-23,2025-05-23,192,36745.56,1
7,1,Advisor 01,Acquisition,Midwest,Core,45-54,$200K-$349K,Growth,Active,347715.33,2024-06-17,,532,15737.39,1
8,10,Advisor 10,Retirement Specialists,Northeast,Core,65+,$200K-$349K,Moderate,Active,384263.51,2024-12-06,,360,6739.47,1
9,2,Advisor 02,Acquisition,West,Core,55-64,$350K+,Moderate,Active,229913.06,2024-03-03,,638,1654.5100000000002,1
10,14,Advisor 14,Relationship Growth,Midwest,Core,45-54,Under $100K,Moderate,Active,287302.19,2024-10-26,2024-10-23,401,5065.89,1
11,3,Advisor 03,Acquisition,Southeast,Mass Affluent,55-64,$100K-$199K,Growth,Active,691440.0700000001,2025-06-26,,158,21692.65,1
12,19,Advisor 19,Relationship Growth,West,Mass Affluent,65+,$100K-$199K,Moderate,Active,406197.05,2025-11-28,2025-11-28,3,16824.78,0
13,20,Advisor 20,Relationship Growth,Southeast,Mass Affluent,55-64,$200K-$349K,Moderate,Active,540349.01,2024-06-22,,527,36860.740000000005,1
14,10,Advisor 10,Retirement Specialists,Northeast,Emerging,45-54,$200K-$349K,Moderate,Active,81559.01999999999,2025-02-16,2025-02-16,288,2061.56,1
15,9,Advisor 09,Retirement Specialists,Southeast,Mass Affluent,45-54,Under $100K,Conservative,Active,1184197.4300000002,2024-02-13,,657,57910.49,1
16,23,Advisor 23,Retirement Specialists,Northeast,Emerging,45-54,$100K-$199K,Moderate,Active,51831.09,2024-03-15,,626,2043.08,1
17,10,Advisor 10,Retirement Specialists,Northeast,Mass Affluent,45-54,$350K+,Growth,Active,837435.16,2025-07-23,2025-07-23,131,9833.489999999998,1
18,4,Advisor 04,Relationship Growth,West,Mass Affluent,35-44,$100K-$199K,Growth,Active,358024.71,,,,-4463.139999999999,1
19,10,Advisor 10,Retirement Specialists,Northeast,High Value,55-64,$200K-$349K,Conservative,Active,1338480.25,2024-02-26,2024-02-26,644,95993.38,1
20,8,Advisor 08,Acquisition,West,Core,55-64,$200K-$349K,Conservative,Active,143323.86,2024-09-20,2024-09-20,437,5296.02,1
21,1,Advisor 01,Acquisition,Midwest,Core,55-64,$100K-$199K,Moderate,Active,95456.01999999999,2025-03-18,2025-03-16,258,2417.2599999999998,1
22,12,Advisor 12,Retirement Specialists,Northeast,High Value,55-64,$200K-$349K,Conservative,Active,2765079.9,2024-03-30,2024-03-30,611,227002.24,1
23,20,Advisor 20,Relationship Growth,Southeast,Core,65+,$350K+,Moderate,Active,169432.33000000002,2025-10-26,2025-10-26,36,3142.35,0
24,21,Advisor 21,High Value,West,Core,35-44,$200K-$349K,Moderate,Active,210602.99,2024-08-08,2024-08-08,480,-1445.8299999999997,1
25,21,Advisor 21,High Value,West,Mass Affluent,45-54,$200K-$349K,Growth,Active,1136137.33,2024-06-01,2024-06-01,548,43727.530000000006,1
26,3,Advisor 03,Acquisition,Southeast,Core,Under 35,Under $100K,Aggressive,Active,225662.47999999998,2024-02-04,,666,17244.64,1
27,11,Advisor 11,High Value,Midwest,Emerging,55-64,Under $100K,Conservative,Active,55587.16,2024-06-28,2024-06-28,521,2487.14,1
28,22,Advisor 22,Acquisition,Northeast,Emerging,Under 35,$200K-$349K,Moderate,Active,46807.69,2024-11-08,2024-11-08,388,1321.49,1
29,13,Advisor 13,Relationship Growth,Southeast,Core,45-54,$100K-$199K,Moderate,Active,126514.51999999999,2025-11-30,,1,4454.58,0
30,14,Advisor 14,Relationship Growth,Midwest,Mass Affluent,35-44,$200K-$349K,Growth,Active,334805.79,2025-10-06,2025-10-06,56,-8102.51,1
31,22,Advisor 22,Acquisition,Northeast,Core,45-54,$100K-$199K,Moderate,Active,262311.35,2024-02-02,2024-01-28,668,529.5999999999999,1
32,3,Advisor 03,Acquisition,Southeast,Emerging,Under 35,$200K-$349K,Moderate,Active,80702.53,2024-05-24,,556,1706.3400000000001,1
33,16,Advisor 16,Retirement Specialists,Southeast,Emerging,55-64,$200K-$349K,Conservative,Active,77258.71,2025-06-07,,177,3627.48,1
34,4,Advisor 04,Relationship Growth,West,High Value,55-64,$100K-$199K,Growth,Active,2832533.13,2025-03-18,2025-03-06,258,-26026.289999999997,1
35,17,Advisor 17,High Value,Southeast,Core,55-64,$100K-$199K,Growth,Active,396224.9,2024-06-19,,530,32509.37,1
36,23,Advisor 23,Retirement Specialists,Northeast,Emerging,55-64,$100K-$199K,Aggressive,Active,46533.81,2024-04-17,2024-04-17,593,1800.71,1
37,3,Advisor 03,Acquisition,Southeast,High Value,45-54,$100K-$199K,Conservative,Active,3010316.48,2024-10-27,2024-10-27,400,156859.52000000002,1
38,9,Advisor 09,Retirement Specialists,Southeast,Core,55-64,$200K-$349K,Growth,Active,180431.95,2025-08-01,2025-08-01,122,11831.77,1
39,22,Advisor 22,Acquisition,Northeast,Emerging,45-54,Under $100K,Moderate,Active,76547.42,2024-07-24,2024-07-24,495,4367.3,1
40,20,Advisor 20,Relationship Growth,Southeast,Core,35-44,$100K-$199K,Moderate,Active,158010.7,2024-07-02,2024-07-02,517,5971.41,1
41,17,Advisor 17,High Value,Southeast,Mass Affluent,35-44,$350K+,Moderate,Active,556942.1,2025-11-25,2025-11-25,6,15437.57,0
