advisor_id,advisor_name,team,region,hire_date,tenure_band,advisor_status
1,Advisor 01,Acquisition,Midwest,2017-09-30,3-5 years,Active
2,Advisor 02,Acquisition,West,2015-05-11,5+ years,Active
3,Advisor 03,Acquisition,Southeast,2023-01-11,1-3 years,Active
4,Advisor 04,Relationship Growth,West,2021-08-10,3-5 years,Active
5,Advisor 05,Relationship Growth,West,2018-10-25,5+ years,Active
6,Advisor 06,Retirement Specialists,Northeast,2016-01-15,1-3 years,Active
7,Advisor 07,Retirement Specialists,Midwest,2024-01-19,1-3 years,Active
8,Advisor 08,Acquisition,West,2015-11-19,1-3 years,Active
9,Advisor 09,Retirement Specialists,Southeast,2022-11-25,5+ years,Active
10,Advisor 10,Retirement Specialists,Northeast,2017-08-11,3-5 years,Active
11,Advisor 11,High Value,Midwest,2016-10-28,1-3 years,Active
12,Advisor 12,Retirement Specialists,Northeast,2021-10-31,1-3 years,Active
13,Advisor 13,Relationship Growth,Southeast,2020-03-08,3-5 years,Active
14,Advisor 14,Relationship Growth,Midwest,2024-06-14,5+ years,Active
15,Advisor 15,Acquisition,Midwest,2019-07-02,0-1 years,Active
16,Advisor 16,Retirement Specialists,Southeast,2022-05-08,1-3 years,Active
17,Advisor 17,High Value,Southeast,2017-12-20,5+ years,Active
18,Advisor 18,Retirement Specialists,West,2021-07-18,5+ years,Active
19,Advisor 19,Relationship Growth,West,2016-01-08,1-3 years,Active
20,Advisor 20,Relationship Growth,Southeast,2023-11-19,5+ years,Active
21,Advisor 21,High Value,West,2021-09-06,3-5 years,Active
22,Advisor 22,Acquisition,Northeast,2022-08-24,3-5 years,Active
23,Advisor 23,Retirement Specialists,Northeast,2018-04-17,5+ years,Active
24,Advisor 24,Retirement Specialists,Southeast,2020-09-10,1-3 years,Active
